Language,Namespace,Key
de,common,auth.signup.phoneVerificationDesc
de,common,accountBasics.confirmDelete
de,common,dashboard.navigation.overview
de,common,operations.noWorkersAssigned
de,common,operations.selectWorkerOrPlaceholder
de,common,operations.selectWorkerType
de,common,dashboard.onboarding.phoneVerification.tooManyRequests
de,common,Failed to save facility profile.
de,common,contact.form.name
de,common,auth.login.loggingIn
de,common,common.saving
de,common,accessLevelChoice.fullAccess
de,common,dashboard.onboarding.step3.chain.messageToSupport
de,common,Error approving user.
de,common,subscription.facility.premium.title
de,common,values.value5.description
de,common,Schedule deleted successfully!
de,common,../pages/contracts/Contracts
de,common,subscription.features.classic.documentStorage
de,common,auth.errors.wrongPassword
de,common,../../services/firebase
de,common,accessLevelChoice.teamAccess.benefit1
de,common,auth.signup.resend
de,common,dashboard.header.resetProfileTitle
de,common,dashboard.onboarding.errors.generic_error
de,common,dashboard.onboarding.step1.restrictedServices.modal.note
de,common,auth.errors.accountDisabled
de,common,auth.errors.invalidCode
de,common,auth.signup.subtitle
de,common,User account has been disabled.
de,common,settings.availabilitySettingsDescription
de,common,privacy.description
de,common,dashboard.onboarding.docs.upload_id
de,common,jobPreferences.title
de,common,values.value4.title
de,common,dashboard.tutorial.currentPage
de,common,settings.accountDeletion.confirmMismatch
de,common,operations.shareEmail
de,common,contact.form.message
de,common,Error updating shift status
de,common,subscription.upgrade
de,common,dashboard.onboarding.step2.facility
de,common,meta.keywords
de,common,dashboard.onboarding.step1.restrictedServices.modal.willHaveAccess
de,common,validation.passwordsDoNotMatch
de,common,view_listing
de,common,contact.form.errors.subjectRequired
de,common,common.selectTab
de,common,accountBasics.errors.currentPasswordRequired
de,common,settings.marketplaceSettingsDescription
de,common,cancel
de,common,auth.verificationCode
de,common,.time-slots
de,common,subscription.upgrading
de,common,auth.errors.emailInUse
de,common,notSpecified
de,common,dashboard.onboarding.step4.title
de,common,dashboard.onboarding.professional_gln.text_new
de,common,dashboard.header.resetConfirm
de,common,account.title
de,common,./firebase
de,common,dashboard.navigation.marketplace
de,common,subscription.features.facility.basic.facilityProfile
de,common,Error loading document. Please try again.
de,common,contact.form.inquiryType.options.general
de,common,|
de,common,settings.leaveFacility.message
de,common,settings.accountDeletion.description
de,common,accessLevelChoice.teamAccess.benefit4
de,common,../pages/calendar/Calendar
de,common,message
de,common,settings.dangerZone
de,common,auth.login.passwordReset.sendEmail
de,common,subscription.features.facility.premium.advancedReporting
de,common,../locales/en/blog/posts.json
de,common,billingInformation.hiringInfoTitle
de,common,auth.resetEmailSent
de,common,accountBasics.private
de,common,errors.loadingConfig
de,common,settings.privacySettingsTitle
de,common,privacy.title
de,common,untitledContract
